source,resource_id,metric_name,service_tag,region,unit,timestamp,avg_value,min_value,max_value,count_value
azure_monitor,vm-dev-01,cpu_utilization,development,centralus,percent,2026-06-15 00:00:00,7.938627637177629,6.0233107315355605,9.992972644542142,264
datadog,svc-api-gateway,request_rate,api,eastus2,rpm,2026-06-22 00:00:00,1204.8622279894846,1101.699882362783,1299.9598258836068,264
azure_monitor,vm-prod-02,memory_utilization,compute,centralus,percent,2026-06-24 00:00:00,59.959321329313774,59.00214197364274,60.98030655702695,264
datadog,svc-api-gateway,error_rate,api,eastus2,percent,2026-06-24 00:00:00,0.49672282562191433,0.30164476720534084,0.6988263580851712,264
azure_monitor,vm-prod-02,memory_utilization,compute,centralus,percent,2026-06-28 00:00:00,60.05833743266862,59.01775021099045,60.99967462494236,264
datadog,svc-api-gateway,error_rate,api,eastus2,percent,2026-06-28 00:00:00,0.501647511575677,0.30045907265508964,0.6997182762321799,264
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-06-30 00:00:00,45.02426259006369,40.015182442854595,49.994257905223286,264
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-07-06 00:00:00,11.976620473517205,11.002790998808644,12.997416354020695,264
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-07-06 00:00:00,71.1748684731475,67.80403632503682,74.01396186007342,264
azure_monitor,vm-prod-01,memory_utilization,compute,centralus,percent,2026-07-07 00:00:00,55.04177916335172,53.011238516456835,56.983731714860696,283
datadog,svc-api-gateway,request_rate,api,eastus2,rpm,2026-07-08 00:00:00,1201.5499176412832,1100.8178815905458,1299.9858155965364,288
azure_monitor,vm-prod-01,memory_utilization,compute,centralus,percent,2026-07-10 00:00:00,55.04706450816131,53.007038200750955,56.99937188706547,288
azure_cost,vm-prod-01,daily_cost,compute,centralus,usd,2026-06-15 00:00:00,100.23731916330026,96.06108562642025,104.47605341358819,11
azure_cost,vm-dev-01,daily_cost,development,centralus,usd,2026-06-23 00:00:00,10.07235850656207,9.088541000869263,10.960087929920217,11
azure_cost,vm-prod-02,daily_cost,compute,centralus,usd,2026-06-27 00:00:00,147.52544204174092,142.36455660505726,155.43706717784232,11
azure_cost,vm-dev-01,daily_cost,development,centralus,usd,2026-06-29 00:00:00,9.807661925048745,9.330076777177691,10.83130708737039,11
azure_cost,vm-prod-02,daily_cost,compute,centralus,usd,2026-07-04 00:00:00,153.1696327525706,143.0820300378784,157.95436806642414,11
azure_cost,svc-api-gateway,daily_cost,api,eastus2,usd,2026-07-06 00:00:00,49.648692055125814,48.19845202981965,51.90758507353548,11
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-07-18 00:00:00,45.28380858893687,40.05470180611776,49.82550699435898,24
datadog,svc-api-gateway,request_rate,api,eastus2,rpm,2026-07-22 00:00:00,1201.0317620803667,1117.2148646907751,1299.8740481698433,24
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-07-27 00:00:00,44.58144735647128,40.30583118399529,49.18885811992887,24
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-07-28 00:00:00,12.14988221316163,11.021159208186875,12.932253706567705,24
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-07-28 00:00:00,66.76261321436726,65.06707406575367,68.74265760896763,24
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-07-30 00:00:00,44.69711586732515,40.3953571257942,49.55866310315152,24
datadog,svc-api-gateway,request_rate,api,eastus2,rpm,2026-07-31 00:00:00,1203.83164915488,1105.234237792244,1297.737149870001,24
azure_monitor,vm-prod-01,memory_utilization,compute,centralus,percent,2026-08-01 00:00:00,55.057197547636406,53.04496486050334,56.868193051019794,24
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-08-02 00:00:00,45.65741341824181,40.70813686438512,49.92206076129406,24
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-08-03 00:00:00,11.635921028604605,11.014178963546566,12.549458008891579,24
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-08-03 00:00:00,75.95719430470015,74.31096056980647,78.38093315874721,24
azure_cost,vm-dev-01,daily_cost,development,centralus,usd,2026-07-13 00:00:00,10.835253296109494,10.835253296109494,10.835253296109494,1
azure_cost,vm-prod-02,daily_cost,compute,centralus,usd,2026-07-23 00:00:00,146.28576029579833,146.28576029579833,146.28576029579833,1
azure_cost,svc-api-gateway,daily_cost,api,eastus2,usd,2026-07-28 00:00:00,50.723246343487894,50.723246343487894,50.723246343487894,1
azure_cost,svc-api-gateway,daily_cost,api,eastus2,usd,2026-08-03 00:00:00,49.48020657233769,49.48020657233769,49.48020657233769,1
azure_monitor,vm-prod-01,memory_utilization,compute,centralus,percent,2026-07-14 00:00:00,55.19158455334712,53.172374508595574,56.83686543020036,24
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-07-17 00:00:00,43.434015490510156,40.02112477753038,49.282649505341084,24
azure_monitor,vm-prod-01,memory_utilization,compute,centralus,percent,2026-06-15 00:00:00,55.17418009876498,53.00000036902093,56.99150910157074,264
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-06-17 00:00:00,12.024702632271332,11.000584109458265,12.999427412734754,264
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-06-17 00:00:00,42.6801056530274,39.300109732130196,45.32814212352963,264
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-06-24 00:00:00,44.87913231154922,40.01802732750711,49.99298970606451,264
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-06-26 00:00:00,11.987571063481514,11.010811140733617,12.99728756111149,264
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-06-26 00:00:00,56.13233499218109,52.737843873670585,58.748057852601,264
azure_monitor,vm-prod-01,cpu_utilization,compute,centralus,percent,2026-06-28 00:00:00,44.942116844144834,40.01154573821764,49.99029454206916,264
azure_monitor,vm-prod-02,memory_utilization,compute,centralus,percent,2026-06-30 00:00:00,59.993246026375814,59.008235440574765,60.99995735675047,264
datadog,svc-api-gateway,error_rate,api,eastus2,percent,2026-06-30 00:00:00,0.4986087716399411,0.30224887494032615,0.6984709131269868,264
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-07-02 00:00:00,12.028333211107704,11.01397593706463,12.996732049805562,264
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-07-02 00:00:00,65.28931804307066,61.414315219833306,67.98732359853348,264
azure_monitor,vm-dev-01,cpu_utilization,development,centralus,percent,2026-07-07 00:00:00,8.01618612742738,6.0008052249963075,9.984113687034226,283
datadog,svc-api-gateway,request_rate,api,eastus2,rpm,2026-07-09 00:00:00,1200.7623683377492,1100.2501148707333,1299.8302625239946,288
azure_monitor,vm-dev-01,cpu_utilization,development,centralus,percent,2026-07-10 00:00:00,8.006444431815325,6.007779894287008,9.998631614845696,288
azure_cost,svc-api-gateway,daily_cost,api,eastus2,usd,2026-06-17 00:00:00,49.77164986881514,48.271347147134065,51.69410805330876,11
azure_cost,vm-prod-02,daily_cost,compute,centralus,usd,2026-06-19 00:00:00,149.43292348743242,142.20835102443138,155.45489178892163,11
azure_cost,vm-dev-01,daily_cost,development,centralus,usd,2026-06-21 00:00:00,9.91517152657606,9.030718756300402,10.764223169111684,11
azure_cost,svc-api-gateway,daily_cost,api,eastus2,usd,2026-06-26 00:00:00,50.07977850359198,48.325860349767915,51.551989518946904,11
azure_cost,svc-api-gateway,daily_cost,api,eastus2,usd,2026-07-02 00:00:00,49.72174561186769,48.40001885350735,51.1589588584885,11
azure_cost,vm-dev-01,daily_cost,development,centralus,usd,2026-07-03 00:00:00,10.043464268115205,9.291716319728557,10.889068036382472,11
azure_cost,vm-prod-01,daily_cost,compute,centralus,usd,2026-07-07 00:00:00,99.81926885552402,95.68116567553331,103.78902440752545,12
azure_cost,vm-prod-01,daily_cost,compute,centralus,usd,2026-07-10 00:00:00,101.2797639065709,95.0349974091173,104.95327143030718,12
azure_monitor,vm-prod-02,memory_utilization,compute,centralus,percent,2026-07-18 00:00:00,60.0861826424576,59.00809242362137,60.988302370194226,24
datadog,svc-api-gateway,error_rate,api,eastus2,percent,2026-07-18 00:00:00,0.4883872336581789,0.3254866852878315,0.69270983827926,24
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-07-19 00:00:00,12.069378179326067,11.003163626984001,12.862945617004486,24
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-07-19 00:00:00,53.53857271793373,52.091338947743864,54.89309996298121,24
azure_monitor,vm-dev-01,memory_utilization,development,centralus,percent,2026-07-20 00:00:00,12.000893812530398,11.290711986706915,12.932667585344333,24
azure_monitor,vm-prod-02,cpu_utilization,compute,centralus,percent,2026-07-20 00:00:00,54.92097326159121,53.17111595808369,57.17247220978318,24
azure_monitor,vm-prod-02,memory_utilization,compute,centralus,percent,2026-07-27 00:00:00,59.91108533966729,59.02221376766766,60.986273354991226,24
datadog,svc-api-gateway,error_rate,api,eastus2,percent,2026-07-27 00:00:00,0.46826484588938516,0.3000017619630805,0.6522531732979215,24
azure_monitor,vm-prod-02,memory_utilization,compute,centralus,percent,2026-07-30 00:00:00,60.0724392292586,59.11143898226677,60.97788359314443,24
datadog,svc-api-gateway,error_rate,api,eastus2,percent,2026-07-30 00:00:00,0.5201589355610444,0.33288326334603124,0.6955874538647346,24
